Time	UTC	DRONERACE_DEBUG:detection_cnt	DRONERACE_DEBUG:vy_sp	DRONERACE_DEBUG:vx_sp	DRONERACE_DEBUG:y_sp	DRONERACE_DEBUG:x_sp	DRONERACE_DEBUG:vy_est	DRONERACE_DEBUG:vx_est	DRONERACE_DEBUG:y_est	DRONERACE_DEBUG:x_est	DRONERACE_DEBUG:y_pre	DRONERACE_DEBUG:x_pre	DRONERACE_DEBUG:vy_OT	DRONERACE_DEBUG:vx_OT	DRONERACE_DEBUG:y_OT	DRONERACE_DEBUG:x_OT	DRONERACE_DEBUG:psi	DRONERACE_DEBUG:theta	DRONERACE_DEBUG:phi	DRONERACE_DEBUG:vision_position_y	DRONERACE_DEBUG:vision_position_x	DRONERACE_DEBUG:heart_beat
0.872	13:22:2.872	0	0.	0.	0.	5.	-16.725296	32.128189	-2060.5	2811.9	-2060.5	2811.9	0.	0.	0.	0.	0.306605	0.035347	-0.085931	0.	0.	155
0.874	13:22:2.874	0	0.	0.	0.	5.	-16.725151	32.128265	-2060.6	2812.1	-2060.6	2812.1	0.	0.	0.	0.	0.306605	0.035408	-0.085992	0.	0.	155
0.876	13:22:2.876	0	0.	0.	0.	5.	-16.725006	32.128342	-2060.7	2812.4	-2060.7	2812.4	0.	0.	0.	0.	0.306605	0.035408	-0.085992	0.	0.	155
0.879	13:22:2.879	0	0.	0.	0.	5.	-16.724867	32.128414	-2060.9	2812.6	-2060.9	2812.6	0.	0.	0.	0.	0.306396	0.0354	-0.085938	0.	0.	155
0.881	13:22:2.881	0	0.	0.	0.	5.	-16.724758	32.128471	-2061.	2812.8	-2061.	2812.8	0.	0.	0.	0.	0.306597	0.035413	-0.085913	0.	0.	155
0.883	13:22:2.883	0	0.	0.	0.	5.	-16.724432	32.128643	-2061.3	2813.4	-2061.3	2813.4	0.	0.	0.	0.	0.306605	0.035408	-0.085992	0.	0.	155
0.884	13:22:2.884	0	0.	0.	0.	5.	-16.724287	32.128719	-2061.4	2813.6	-2061.4	2813.6	0.	0.	0.	0.	0.306605	0.035408	-0.085992	0.	0.	155
0.886	13:22:2.886	0	0.	0.	0.	5.	-16.721205	32.13031	-2064.1	2818.9	-2064.1	2818.9	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.895	13:22:2.895	0	0.	0.	0.	5.	-16.721052	32.130386	-2064.3	2819.1	-2064.3	2819.1	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.897	13:22:2.897	0	0.	0.	0.	5.	-16.720938	32.130444	-2064.4	2819.3	-2064.4	2819.3	0.	0.	0.	0.	0.306776	0.035481	-0.085899	0.	0.	155
0.930	13:22:2.930	0	0.	0.	0.	5.	-16.720751	32.130539	-2064.5	2819.6	-2064.5	2819.6	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.932	13:22:2.932	0	0.	0.	0.	5.	-16.720598	32.130615	-2064.7	2819.9	-2064.7	2819.9	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.933	13:22:2.933	0	0.	0.	0.	5.	-16.720446	32.130692	-2064.8	2820.1	-2064.8	2820.1	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.935	13:22:2.935	0	0.	0.	0.	5.	-16.720303	32.130768	-2064.9	2820.4	-2064.9	2820.4	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.936	13:22:2.936	0	0.	0.	0.	5.	-16.720194	32.130825	-2065.	2820.6	-2065.	2820.6	0.	0.	0.	0.	0.306776	0.035481	-0.085899	0.	0.	155
0.937	13:22:2.937	0	0.	0.	0.	5.	-16.720011	32.13092	-2065.2	2820.9	-2065.2	2820.9	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.944	13:22:2.944	0	0.	0.	0.	5.	-16.719902	32.130978	-2065.3	2821.1	-2065.3	2821.1	0.	0.	0.	0.	0.306776	0.035481	-0.085899	0.	0.	155
0.950	13:22:2.950	0	0.	0.	0.	5.	-16.719719	32.131073	-2065.5	2821.4	-2065.5	2821.4	0.	0.	0.	0.	0.306759	0.035469	-0.085937	0.	0.	155
0.964	13:22:2.964	0	0.	0.	0.	5.	-16.719578	32.131145	-2065.6	2821.6	-2065.6	2821.6	0.	0.	0.	0.	0.306759	0.035591	-0.085997	0.	0.	155
0.965	13:22:2.965	0	0.	0.	0.	5.	-16.719433	32.131222	-2065.7	2821.9	-2065.7	2821.9	0.	0.	0.	0.	0.306759	0.035591	-0.085937	0.	0.	155
1.180	13:22:3.180	0	0.	0.	0.	5.	-16.719288	32.131298	-2065.8	2822.1	-2065.8	2822.1	0.	0.	0.	0.	0.306759	0.035591	-0.085937	0.	0.	155
1.183	13:22:3.183	0	0.	0.	0.	5.	-16.719145	32.131371	-2066.	2822.4	-2066.	2822.4	0.	0.	0.	0.	0.306641	0.0354	-0.085693	0.	0.	155
1.185	13:22:3.185	0	0.	0.	0.	5.	-16.71903	32.131428	-2066.1	2822.6	-2066.1	2822.6	0.	0.	0.	0.	0.306834	0.035604	-0.08588	0.	0.	155
1.186	13:22:3.186	0	0.	0.	0.	5.	-16.71884	32.131523	-2066.2	2822.9	-2066.2	2822.9	0.	0.	0.	0.	0.306817	0.035591	-0.085931	0.	0.	155
1.188	13:22:3.188	0	0.	0.	0.	5.	-16.718725	32.13158	-2066.3	2823.1	-2066.3	2823.1	0.	0.	0.	0.	0.306834	0.035604	-0.08588	0.	0.	155
1.190	13:22:3.190	0	0.	0.	0.	5.	-16.718534	32.131676	-2066.5	2823.4	-2066.5	2823.4	0.	0.	0.	0.	0.306817	0.035591	-0.085931	0.	0.	155
1.192	13:22:3.192	0	0.	0.	0.	5.	-16.718393	32.131748	-2066.6	2823.6	-2066.6	2823.6	0.	0.	0.	0.	0.306817	0.035591	-0.085931	0.	0.	155
1.194	13:22:3.194	0	0.	0.	0.	5.	-16.718248	32.131824	-2066.8	2823.9	-2066.8	2823.9	0.	0.	0.	0.	0.306817	0.035591	-0.085931	0.	0.	155
1.195	13:22:3.195	0	0.	0.	0.	5.	-16.715513	32.133259	-2069.3	2828.7	-2069.3	2828.7	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.199	13:22:3.199	0	0.	0.	0.	5.	-16.715376	32.133331	-2069.4	2828.9	-2069.4	2828.9	0.	0.	0.	0.	0.306641	0.035645	-0.085693	0.	0.	155
1.200	13:22:3.200	0	0.	0.	0.	5.	-16.715267	32.133389	-2069.5	2829.1	-2069.5	2829.1	0.	0.	0.	0.	0.306891	0.035788	-0.085852	0.	0.	155
1.207	13:22:3.207	0	0.	0.	0.	5.	-16.715086	32.133484	-2069.6	2829.4	-2069.6	2829.4	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.224	13:22:3.224	0	0.	0.	0.	5.	-16.714941	32.13356	-2069.8	2829.7	-2069.8	2829.7	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.226	13:22:3.226	0	0.	0.	0.	5.	-16.714796	32.133636	-2069.9	2829.9	-2069.9	2829.9	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.229	13:22:3.229	0	0.	0.	0.	5.	-16.714655	32.133713	-2070.	2830.2	-2070.	2830.2	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.244	13:22:3.244	0	0.	0.	0.	5.	-16.714523	32.133785	-2070.2	2830.4	-2070.2	2830.4	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.246	13:22:3.246	0	0.	0.	0.	5.	-16.714386	32.133862	-2070.3	2830.7	-2070.3	2830.7	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.259	13:22:3.259	0	0.	0.	0.	5.	-16.714249	32.133938	-2070.4	2830.9	-2070.4	2830.9	0.	0.	0.	0.	0.306875	0.035774	-0.085931	0.	0.	155
1.288	13:22:3.288	0	0.	0.	0.	5.	-16.714113	32.13401	-2070.6	2831.2	-2070.6	2831.2	0.	0.	0.	0.	0.306934	0.035835	-0.085992	0.	0.	155
1.291	13:22:3.291	0	0.	0.	0.	5.	-16.713968	32.134087	-2070.7	2831.4	-2070.7	2831.4	0.	0.	0.	0.	0.306934	0.035835	-0.085992	0.	0.	155
1.513	13:22:3.513	0	0.	0.	0.	5.	-16.713823	32.134163	-2070.8	2831.7	-2070.8	2831.7	0.	0.	0.	0.	0.306934	0.035835	-0.085992	0.	0.	155
1.515	13:22:3.515	0	0.	0.	0.	5.	-16.713678	32.134239	-2071.	2831.9	-2071.	2831.9	0.	0.	0.	0.	0.306934	0.035835	-0.085992	0.	0.	155
1.516	13:22:3.516	0	0.	0.	0.	5.	-16.713543	32.134312	-2071.1	2832.2	-2071.1	2832.2	0.	0.	0.	0.	0.306641	0.035645	-0.085938	0.	0.	155
1.518	13:22:3.518	0	0.	0.	0.	5.	-16.713398	32.134388	-2071.2	2832.4	-2071.2	2832.4	0.	0.	0.	0.	0.306934	0.035835	-0.085992	0.	0.	155
1.519	13:22:3.519	0	0.	0.	0.	5.	-16.713289	32.134445	-2071.3	2832.6	-2071.3	2832.6	0.	0.	0.	0.	0.306953	0.0358	-0.085911	0.	0.	155
1.522	13:22:3.522	0	0.	0.	0.	5.	-16.713144	32.134521	-2071.4	2832.9	-2071.4	2832.9	0.	0.	0.	0.	0.306953	0.0358	-0.085911	0.	0.	155
1.524	13:22:3.524	0	0.	0.	0.	5.	-16.712999	32.134598	-2071.6	2833.1	-2071.6	2833.1	0.	0.	0.	0.	0.306951	0.03586	-0.085902	0.	0.	155
